| ROM    | Address Range   | Size  | Description                     | Notes                      |
|--------|-----------------|-------|---------------------------------|----------------------------|
| m1.1h  | 0xA000-0xA2D0   | 721B  | Unknown (Code/Data)             | Unknown                    |
| m1.1h  | 0xA2D1-0xA2E0   | 16B   | Map 1 Palette Data              | Used for Map 1 Wall Colors |
| m1.1h  | 0xA2E1-0xA2F0   | 16B   | Map 2 Palette Data              | Used for Map 2 Wall Colors |
| m1.1h  | 0xA2F1-0xA300   | 16B   | Map 3 Palette Data              | Used for Map 3 Wall Colors |
| m1.1h  | 0xA301-0xA310   | 16B   | Map 4 Palette Data              | Used for Map 4 Wall Colors |
| m1.1h  | 0xA311-0xA320   | 16B   | High Score Palette Data         | Used for High Score Screen |
| m1.1h  | 0xA321-0xA330   | 16B   | UI Palette Data                 | Used for Title Screen      |
| m1.1h  | 0xA331-0xA340   | 16B   | UI Palette Data                 | Used for Player Start      |
| m1.1h  | 0xA341-0xA49F   | 351B  | Unknown (Code/Data)             |                            |
| m1.1h  | 0xA4A0-0xA4A2   | 3B    | HIGH SCORE                      | 03 58 40 (035840)          |
| m1.1h  | 0xA4A3-0xA4A5   | 3B    | 1ST Score                       | 03 58 40 (035840)          |
| m1.1h  | 0xA4A6-0xA4A8   | 3B    | 1ST Name                        | 48 54 41 (HTA in ASCII)    |
| m1.1h  | 0xA4A9-0xA4AB   | 3B    | 2ND Score                       | 03 40 60 (034060)          |
| m1.1h  | 0xA4AC-0xA4AE   | 3B    | 2ND Name                        | 4D 4E 55 (MNU in ASCII)    |
| m1.1h  | 0xA4AF-0xA4B1   | 3B    | 3RD Score                       | 03 38 60 (033860)          |
| m1.1h  | 0xA4B2-0xA4B4   | 3B    | 3RD Name                        | 53 49 53 (SIS in ASCII)    |
| m1.1h  | 0xA4B5-0xA4B7   | 3B    | 4TH Score                       | 02 96 60 (029660)          |
| m1.1h  | 0xA4B8-0xA4BA   | 3B    | 4TH Name                        | 4B 4B 4F (KKO in ASCII)    |
| m1.1h  | 0xA4BB-0xA4BD   | 3B    | 5TH Score                       | 02 34 60 (023460)          |
| m1.1h  | 0xA4BE-0xA4C0   | 3B    | 5TH Name                        | 59 4E 41 (YNA in ASCII)    |
| m1.1h  | 0xA4C1-0xA4C3   | 3B    | 6TH Score                       | 01 58 60 (015860)          |
| m1.1h  | 0xA4C4-0xA4C6   | 3B    | 6TH Name                        | 46 55 4A (FUJ in ASCII)    |
| m1.1h  | 0xA4C7-0xA4C9   | 3B    | 7TH Score                       | 01 20 60 (012060)          |
| m1.1h  | 0xA4CA-0xA4CC   | 3B    | 7TH Name                        | 4D 41 54 (MAT in ASCII)    |
| m1.1h  | 0xA4CD-0xA4CD   | 1B    | 1ST Stage                       | 02 (Level 3)               |
| m1.1h  | 0xA4CE-0xA4CE   | 1B    | 2ND Stage                       | 02 (Level 3)               |
| m1.1h  | 0xA4CF-0xA4CF   | 1B    | 3RD Stage                       | 02 (Level 3)               |
| m1.1h  | 0xA4D0-0xA4D0   | 1B    | 4TH Stage                       | 01 (Level 2)               |
| m1.1h  | 0xA4D1-0xA4D1   | 1B    | 5TH Stage                       | 01 (Level 2)               |
| m1.1h  | 0xA4D2-0xA4D2   | 1B    | 6TH Stage                       | 01 (Level 2)               |
| m1.1h  | 0xA4D3-0xA4D3   | 1B    | 7TH Stage                       | 01 (Level 2)               |
| m1.1h  | 0xA4D4-0xA4D5   | 2B    | Coin Mech A - 1 Coin/1 Credit   | 01 01 (DS 1 - xxxx0000)    |
| m1.1h  | 0xA4D6-0xA4D7   | 2B    | Coin Mech A - 1 Coin/2 Credits  | 01 02 (DS 1 - xxxx0001)    |
| m1.1h  | 0xA4D8-0xA4D9   | 2B    | Coin Mech A - 1 Coin/3 Credits  | 01 03 (DS 1 - xxxx0010)    |
| m1.1h  | 0xA4DA-0xA4DB   | 2B    | Coin Mech A - 1 Coin/4 Credits  | 01 04 (DS 1 - xxxx0011)    |
| m1.1h  | 0xA4DC-0xA4DD   | 2B    | Coin Mech A - 1 Coin/5 Credits  | 01 05 (DS 1 - xxxx0100)    |
| m1.1h  | 0xA4DE-0xA4DF   | 2B    | Coin Mech A - 1 Coin/6 Credits  | 01 06 (DS 1 - xxxx0101)    |
| m1.1h  | 0xA4E0-0xA4E1   | 2B    | Coin Mech A - 1 Coin/7 Credits  | 01 07 (DS 1 - xxxx0110)    |
| m1.1h  | 0xA4E2-0xA4E3   | 2B    | Coin Mech A - 2 Coins/1 Credit  | 02 01 (DS 1 - xxxx0111)    |
| m1.1h  | 0xA4E4-0xA4E5   | 2B    | Coin Mech A - 2 Coins/3 Credits | 02 03 (DS 1 - xxxx1000)    |
| m1.1h  | 0xA4E6-0xA4E7   | 2B    | Coin Mech A - 2 Coins/5 Credits | 02 05 (DS 1 - xxxx1001)    |
| m1.1h  | 0xA4E8-0xA4E9   | 2B    | Coin Mech A - 3 Coins/1 Credit  | 03 01 (DS 1 - xxxx1010)    |
| m1.1h  | 0xA4EA-0xA4EB   | 2B    | Coin Mech A - 3 Coins/2 Credits | 03 02 (DS 1 - xxxx1011)    |
| m1.1h  | 0xA4EC-0xA4ED   | 2B    | Coin Mech A - 3 Coins/4 Credits | 03 04 (DS 1 - xxxx1100)    |
| m1.1h  | 0xA4EE-0xA4EF   | 2B    | Coin Mech A - 4 Coins/1 Credit  | 04 01 (DS 1 - xxxx1101)    |
| m1.1h  | 0xA4F0-0xA4F1   | 2B    | Coin Mech A - 4 Coins/3 Credits | 04 03 (DS 1 - xxxx1110)    |
| m1.1h  | 0xA4F2-0xA4F3   | 2B    | Coin Mech A - Free Play         | 01 00 (DS 1 - xxxx1111)    |
| m1.1h  | 0xA4F4-0xA4F5   | 2B    | Coin Mech B - 1 Coin/1 Credit   | 01 01 (DS 1 - 0000xxxx)    |
| m1.1h  | 0xA4F6-0xA4F7   | 2B    | Coin Mech B - 1 Coin/2 Credits  | 01 02 (DS 1 - 0001xxxx)    |
| m1.1h  | 0xA4F8-0xA4F9   | 2B    | Coin Mech B - 1 Coin/3 Credits  | 01 03 (DS 1 - 0010xxxx)    |
| m1.1h  | 0xA4FA-0xA4FB   | 2B    | Coin Mech B - 1 Coin/4 Credits  | 01 04 (DS 1 - 0011xxxx)    |
| m1.1h  | 0xA4FC-0xA4FD   | 2B    | Coin Mech B - 1 Coin/5 Credits  | 01 05 (DS 1 - 0100xxxx)    |
| m1.1h  | 0xA4FE-0xA4FF   | 2B    | Coin Mech B - 1 Coin/6 Credits  | 01 06 (DS 1 - 0101xxxx)    |
| m1.1h  | 0xA500-0xA501   | 2B    | Coin Mech B - 1 Coin/7 Credits  | 01 07 (DS 1 - 0110xxxx)    |
| m1.1h  | 0xA502-0xA503   | 2B    | Coin Mech B - 2 Coins/1 Credit  | 02 01 (DS 1 - 0111xxxx)    |
| m1.1h  | 0xA504-0xA505   | 2B    | Coin Mech B - 2 Coins/3 Credits | 02 03 (DS 1 - 1000xxxx)    |
| m1.1h  | 0xA506-0xA507   | 2B    | Coin Mech B - 2 Coins/5 Credits | 02 05 (DS 1 - 1001xxxx)    |
| m1.1h  | 0xA508-0xA509   | 2B    | Coin Mech B - 3 Coins/1 Credit  | 03 01 (DS 1 - 1010xxxx)    |
| m1.1h  | 0xA50A-0xA50B   | 2B    | Coin Mech B - 3 Coins/2 Credits | 03 02 (DS 1 - 1011xxxx)    |
| m1.1h  | 0xA50C-0xA50D   | 2B    | Coin Mech B - 3 Coins/4 Credits | 03 04 (DS 1 - 1100xxxx)    |
| m1.1h  | 0xA50E-0xA50F   | 2B    | Coin Mech B - 4 Coins/1 Credit  | 04 01 (DS 1 - 1101xxxx)    |
| m1.1h  | 0xA510-0xA511   | 2B    | Coin Mech B - 4 Coins/3 Credits | 04 03 (DS 1 - 1110xxxx)    |
| m1.1h  | 0xA512-0xA513   | 2B    | Coin Mech B - Invalid?          | 01 00 (DS 1 - 1111xxxx)    |
| m1.1h  | 0xA514-0xA553   | 64B   | Unknown (Code/Data)             | Unknown                    |
| m1.1h  | 0xA554-0xA55D   | 10B   | Unknown Block Range Start       | Unknown purpose            |
| m1.1h  | 0xA55E-0xA57D   | 32B   | Unknown Range 1                 | Unknown purpose            |
| m1.1h  | 0xA57E-0xA59D   | 32B   | Unknown Range 2                 | Unknown purpose            |
| m1.1h  | 0xA59E-0xA5BD   | 32B   | Unknown Range 3                 | Unknown purpose            |
| m1.1h  | 0xA5BE-0xA5DD   | 32B   | Unknown Range 4                 | Unknown purpose            |
| m1.1h  | 0xA5DE-0xA5FD   | 32B   | Unknown Range 5                 | Unknown purpose            |
| m1.1h  | 0xA5FE-0xA61D   | 32B   | Map Block Range Start           | Pointers to map blocks     |
| m1.1h  | 0xA61E-0xA61F   | 2B    | Map 1/D1 Logical Map Pointer    | BIG-ENDIAN, 0x9000         |
| m1.1h  | 0xA620-0xA621   | 2B    | Map 1/D1 Visual Map Pointer     | BIG-ENDIAN, 0x9000         |
| m1.1h  | 0xA622-0xA622   | 1B    | Map 1/D1 Enemy Spawn Rate       | 0x05-0x08 range            |
| m1.1h  | 0xA623-0xA623   | 1B    | Map 1/D1 Time Limit             | Seconds, e.g., 0x3C=60s    |
| m1.1h  | 0xA624-0xA628   | 5B    | Map 1/D1 Unknown Data           | Unknown purpose            |
| m1.1h  | 0xA629-0xA62B   | 3B    | Map 1/D1 Player Start           | BIG-ENDIAN, YY YY XX       |
